Study_numb,URL,Paper,Title,Year_Sampled,Species,OsHV_var
4,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,2002,Chlamys farreri,OsHV-1
4,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,2003,Chlamys farreri,OsHV-1
4,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,2004,Chlamys farreri,OsHV-1
4,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,2005,Chlamys farreri,OsHV-1
4,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,2006,Chlamys farreri,OsHV-1
4,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,2007,Chlamys farreri,OsHV-1
4,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,2008,Chlamys farreri,OsHV-1
4,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,2009,Chlamys farreri,OsHV-1
4,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,2010,Chlamys farreri,OsHV-1
4,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,2011,Chlamys farreri,OsHV-1
4,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,2011,Crassostrea hongkongensis,OsHV-1
4,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,2012,Chlamys farreri,OsHV-1
4,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,2012,Patinopecten yessoensis,OsHV-1
4,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,2012,Scapharca broughtonii,OsHV-1
4,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,2013,Chlamys farreri,OsHV-1
4,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,2013,Ruditapes phillipinarum,OsHV-1
4,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,2013,Crassostrea hongkongensis,OsHV-1
4,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,2013,Scapharca broughtonii,OsHV-1
4,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,2013,Magallana gigas,OsHV-1
4,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,2013,Meretrix meretrix,OsHV-1
5,https://www.sciencedirect.com/science/article/abs/pii/S0022201116301240?via%3Dihub,Sanmartín et al. 2016,Evidence of vertical transmission of ostreid herpesvirus 1 in the Portuguese oyster Crassostrea angulata,NA,Crassostrea angulata,OsHV-1 μVar
6,https://link.springer.com/article/10.1007/s10499-015-9919-2,Serraca et al. 2016,"Mortality and ostreid herpesvirus 1 infection in the pacific oyster Crassostrea gigas in the Gulf of La Spezia, Italy",2011,Magallana gigas,OsHV-1
6,https://link.springer.com/article/10.1007/s10499-015-9919-2,Serraca et al. 2016,"Mortality and ostreid herpesvirus 1 infection in the pacific oyster Crassostrea gigas in the Gulf of La Spezia, Italy",2012,Magallana gigas,OsHV-1
6,https://link.springer.com/article/10.1007/s10499-015-9919-2,Serraca et al. 2016,"Mortality and ostreid herpesvirus 1 infection in the pacific oyster Crassostrea gigas in the Gulf of La Spezia, Italy",2013,Magallana gigas,OsHV-1
7,https://www.sciencedirect.com/science/article/pii/S0044848614004657?via%3Dihub,Batista et al. 2015,Sequence variation in ostreid herpesvirus 1 microvar isolates detected in dying and asymptomatic Crassostrea angulata adults in the Iberian Peninsula: Insights into viral origin and spread,2011,Crassostrea angulata,OsHV-1
7,https://www.sciencedirect.com/science/article/pii/S0044848614004657?via%3Dihub,Batista et al. 2015,Sequence variation in ostreid herpesvirus 1 microvar isolates detected in dying and asymptomatic Crassostrea angulata adults in the Iberian Peninsula: Insights into viral origin and spread,2013,Crassostrea angulata,OsHV-1
8,https://www.mdpi.com/1999-4915/10/10/529,Xin et al. 2018,"Ostreid Herpesvirus-1 Infects Specific Hemocytes in Ark Clam, Scapharca broughtonii",NA,Scapharca broughtonii,OsHV-1
9,https://scielo.conicyt.cl/pdf/lajar/v45n4/0718-560X-lajar-45-04-0699.pdf,Martínez-García et al. 2017,"OsHV-1 and notifiable protozoa in healthy Crassostrea corteziensis cultured in two distant areas of the Gulf of California
",2012,Crassostrea corteziensis,OsHV-1
10,https://www.sciencedirect.com/science/article/pii/S0022201121000203,Prado-Alvarez et al. 2021,First detection of OsHV-1 in the cephalopod Octopus vulgaris. Is the octopus a dead-end for OsHV-1?,2010,Octopus vulgaris,OsHV-1 μVar
10,https://www.sciencedirect.com/science/article/pii/S0022201121000203,Prado-Alvarez et al. 2021,First detection of OsHV-1 in the cephalopod Octopus vulgaris. Is the octopus a dead-end for OsHV-1?,2011,Octopus vulgaris,OsHV-1 μVar
10,https://www.sciencedirect.com/science/article/pii/S0022201121000203,Prado-Alvarez et al. 2021,First detection of OsHV-1 in the cephalopod Octopus vulgaris. Is the octopus a dead-end for OsHV-1?,2014,Octopus vulgaris,OsHV-1 μVar
10,https://www.sciencedirect.com/science/article/pii/S0022201121000203,Prado-Alvarez et al. 2021,First detection of OsHV-1 in the cephalopod Octopus vulgaris. Is the octopus a dead-end for OsHV-1?,2015,Octopus vulgaris,OsHV-1 μVar
11,https://www.int-res.com/abstracts/dao/v118/n1/p65-75/,Bai et al. 2016,Identification and characterization of ostreid herpesvirus 1 associated with massive mortalities of Scapharca broughtonii broodstocks in China,2012,Scapharca broughtonii,OsHV-1
11,https://www.int-res.com/abstracts/dao/v118/n1/p65-75/,Bai et al. 2016,Identification and characterization of ostreid herpesvirus 1 associated with massive mortalities of Scapharca broughtonii broodstocks in China,2013,Scapharca broughtonii,OsHV-1
12,https://journals.asm.org/doi/10.1128/JVI.06534-11,Renault et al. 2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,1993,Magallana gigas,OsHV-1
12,https://journals.asm.org/doi/10.1128/JVI.06534-11,Renault et al. 2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,1994,Magallana gigas,OsHV-1
12,https://journals.asm.org/doi/10.1128/JVI.06534-11,Renault et al. 2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,1995,Magallana gigas,OsHV-1
12,https://journals.asm.org/doi/10.1128/JVI.06534-11,Renault et al. 2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,2002,Magallana gigas,OsHV-1
12,https://journals.asm.org/doi/10.1128/JVI.06534-11,Renault et al. 2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,2003,Magallana gigas,OsHV-1
12,https://journals.asm.org/doi/10.1128/JVI.06534-11,Renault et al. 2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,2005,Magallana gigas,OsHV-1
12,https://journals.asm.org/doi/10.1128/JVI.06534-11,Renault et al. 2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,2005,Magallana gigas,OsHV-1 μVar
12,https://journals.asm.org/doi/10.1128/JVI.06534-11,Renault et al. 2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,2006,Magallana gigas,OsHV-1
12,https://journals.asm.org/doi/10.1128/JVI.06534-11,Renault et al. 2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,2007,Magallana gigas,OsHV-1
12,https://journals.asm.org/doi/10.1128/JVI.06534-11,Renault et al. 2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,2008,Magallana gigas,OsHV-1
12,https://journals.asm.org/doi/10.1128/JVI.06534-11,Renault et al. 2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,2009,Magallana gigas,OsHV-1
12,https://journals.asm.org/doi/10.1128/JVI.06534-11,Renault et al. 2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,2010,Magallana gigas,OsHV-1
13,https://www.int-res.com/abstracts/dao/v77/n3/p207-223/,Moss et al. 2007,Pathogens in Crassostrea ariakensis and other Asian oyster species: implications for non-native oyster introduction to Chesapeake Bay,1999,Crassostrea hongkongensis,OsHV-1
13,https://www.int-res.com/abstracts/dao/v77/n3/p207-223/,Moss et al. 2007,Pathogens in Crassostrea ariakensis and other Asian oyster species: implications for non-native oyster introduction to Chesapeake Bay,1999,Crassostrea ariakensis,OsHV-1
13,https://www.int-res.com/abstracts/dao/v77/n3/p207-223/,Moss et al. 2007,Pathogens in Crassostrea ariakensis and other Asian oyster species: implications for non-native oyster introduction to Chesapeake Bay,2002,Crassostrea hongkongensis,OsHV-1
13,https://www.int-res.com/abstracts/dao/v77/n3/p207-223/,Moss et al. 2007,Pathogens in Crassostrea ariakensis and other Asian oyster species: implications for non-native oyster introduction to Chesapeake Bay,2004,Crassostrea ariakensis,OsHV-1
13,https://www.int-res.com/abstracts/dao/v77/n3/p207-223/,Moss et al. 2007,Pathogens in Crassostrea ariakensis and other Asian oyster species: implications for non-native oyster introduction to Chesapeake Bay,2005,Crassostrea ariakensis,OsHV-1
13,https://www.int-res.com/abstracts/dao/v77/n3/p207-223/,Moss et al. 2007,Pathogens in Crassostrea ariakensis and other Asian oyster species: implications for non-native oyster introduction to Chesapeake Bay,2005,Magallana gigas,OsHV-1
13,https://www.int-res.com/abstracts/dao/v77/n3/p207-223/,Moss et al. 2007,Pathogens in Crassostrea ariakensis and other Asian oyster species: implications for non-native oyster introduction to Chesapeake Bay,2005,Crassostrea sikamea,OsHV-1
14,https://onlinelibrary.wiley.com/doi/full/10.1046/j.1365-2761.2001.00300.x?casa_token=DNEj9k2OMDYAAAAA%3AZVQ-yQk2U1ZwzkvFr-Gh4-a5NuOSaAPbvA9K08yYDS8-8MKmBrlwGInGR3twelzEtwlxqvclaVo1G0Xr,Renault et al. 2001,A herpes-like virus infecting Crassostrea gigas and Ruditapes philippinarum larvae in France,1997,Magallana gigas,Herpes-like virus
14,https://onlinelibrary.wiley.com/doi/full/10.1046/j.1365-2761.2001.00300.x?casa_token=DNEj9k2OMDYAAAAA%3AZVQ-yQk2U1ZwzkvFr-Gh4-a5NuOSaAPbvA9K08yYDS8-8MKmBrlwGInGR3twelzEtwlxqvclaVo1G0Xr,Renault et al. 2001,A herpes-like virus infecting Crassostrea gigas and Ruditapes philippinarum larvae in France,1997,Ruditapes phillipinarum,Herpes-like virus
14,https://www.int-res.com/abstracts/dao/v45/n1/p1-7/,Renault et al. 2001,A herpes-like virus infects a non-ostreid bivalve species: virus replication in Ruditapes philippinarum larvae,1997,Ruditapes phillipinarum,OsHV-1
15,https://www.sciencedirect.com/science/article/pii/S0044848618304484,Ugalde et al. 2018,"Analysis of farm management strategies following herpesvirus (OsHV-1) disease outbreaks in Pacific oysters in Tasmania, Australia",2017,Magallana gigas,OsHV-1 μVar
16,https://www.sciencedirect.com/science/article/abs/pii/S0022201121001038,Burge et al. 2021,"The first detection of a novel OsHV-1 microvariant in San Diego, California, USA",2018,Magallana gigas,OsHV-1 μVar
17,https://www.sciencedirect.com/science/article/pii/S0168170210002364?via=ihub,Segarra et al. 2010,"Detection and description of a particular Ostreid herpesvirus 1 genotype associated with massive mortality outbreaks of Pacific oysters, Crassostrea gigas, in France in 2008",1995,Magallana gigas,OsHV-1
17,https://www.sciencedirect.com/science/article/pii/S0168170210002364?via=ihub,Segarra et al. 2010,"Detection and description of a particular Ostreid herpesvirus 1 genotype associated with massive mortality outbreaks of Pacific oysters, Crassostrea gigas, in France in 2008",2003,Magallana gigas,OsHV-1
17,https://www.sciencedirect.com/science/article/pii/S0168170210002364?via=ihub,Segarra et al. 2010,"Detection and description of a particular Ostreid herpesvirus 1 genotype associated with massive mortality outbreaks of Pacific oysters, Crassostrea gigas, in France in 2008",2004,Magallana gigas,OsHV-1
17,https://www.sciencedirect.com/science/article/pii/S0168170210002364?via=ihub,Segarra et al. 2010,"Detection and description of a particular Ostreid herpesvirus 1 genotype associated with massive mortality outbreaks of Pacific oysters, Crassostrea gigas, in France in 2008",2005,Magallana gigas,OsHV-1
17,https://www.sciencedirect.com/science/article/pii/S0168170210002364?via=ihub,Segarra et al. 2010,"Detection and description of a particular Ostreid herpesvirus 1 genotype associated with massive mortality outbreaks of Pacific oysters, Crassostrea gigas, in France in 2008",2006,Magallana gigas,OsHV-1
17,https://www.sciencedirect.com/science/article/pii/S0168170210002364?via=ihub,Segarra et al. 2010,"Detection and description of a particular Ostreid herpesvirus 1 genotype associated with massive mortality outbreaks of Pacific oysters, Crassostrea gigas, in France in 2008",2007,Magallana gigas,OsHV-1
17,https://www.sciencedirect.com/science/article/pii/S0168170210002364?via=ihub,Segarra et al. 2010,"Detection and description of a particular Ostreid herpesvirus 1 genotype associated with massive mortality outbreaks of Pacific oysters, Crassostrea gigas, in France in 2008",2008,Magallana gigas,OsHV-1 μVar
17,https://www.sciencedirect.com/science/article/pii/S0168170210002364?via=ihub,Segarra et al. 2010,"Detection and description of a particular Ostreid herpesvirus 1 genotype associated with massive mortality outbreaks of Pacific oysters, Crassostrea gigas, in France in 2008",2008,Magallana gigas,OsHV-1
18,https://virologyj.biomedcentral.com/articles/10.1186/s12985-015-0334-0,Xia et al. 2015,Complete genome sequence of Ostreid herpesvirus-1 associated with mortalities of Scapharca broughtonii broodstocks,2012,Scapharca broughtonii,OsHV-1
19,https://veterinaryresearch.biomedcentral.com/articles/10.1186/1297-9716-42-27,Schikorski et al. 2011,Experimental infection of Pacific oyster Crassostrea gigas spat by ostreid herpesvirus 1: demonstration of oyster spat susceptibility,2008,Magallana gigas,OsHV-1 μVar
20,https://www.sciencedirect.com/science/article/pii/S0022201117304366?via%3Dihub,Xin et al. 2018,"Validation of housekeeping genes for quantitative mRNA expression analysis in OsHV-1 infected ark clam, Scapharca broughtonii",NA,Scapharca broughtonii,OsHV-1
21,https://www.sciencedirect.com/science/article/pii/S105046482200064X?via%3Dihub,Bai et al. 2022,Paired miRNA and RNA sequencing provides a first insight into molecular defense mechanisms of Scapharca broughtonii during ostreid herpesvirus-1 infection,2019,Scapharca broughtonii,OsHV-1
22,https://www.sciencedirect.com/science/article/pii/S016609340400045X?via%3Dihub,Barbosa-Solomieu et al. 2004,Diagnosis of Ostreid herpesvirus 1 in fixed paraffin-embedded archival samples using PCR and in situ hybridisation,1994,Magallana gigas,OsHV-1
22,https://www.sciencedirect.com/science/article/pii/S016609340400045X?via%3Dihub,Barbosa-Solomieu et al. 2004,Diagnosis of Ostreid herpesvirus 1 in fixed paraffin-embedded archival samples using PCR and in situ hybridisation,1994,Ostrea edulis,OsHV-1
23,https://www.isj.unimore.it/index.php/ISJ/article/view/730/488,Wang et al. 2022,Characterization  of  a  Novel  C-type  Lectin  against  OsHV-1  infection  in Scapharca broughtonii,NA,Scapharca broughtonii,OsHV-1
24,https://www.int-res.com/articles/dao2007/78/d078p181.pdf,da Silva et al. 2008,Herpesvirus infection in European flat oysters Ostrea edulis obtained from brood stocks of various geographic origins and grown in Galicia (NW Spain),2001,Ostrea edulis,OsHV-1
24,https://www.int-res.com/articles/dao2007/78/d078p181.pdf,da Silva et al. 2008,Herpesvirus infection in European flat oysters Ostrea edulis obtained from brood stocks of various geographic origins and grown in Galicia (NW Spain),2002,Ostrea edulis,OsHV-1
24,https://www.int-res.com/articles/dao2007/78/d078p181.pdf,da Silva et al. 2008,Herpesvirus infection in European flat oysters Ostrea edulis obtained from brood stocks of various geographic origins and grown in Galicia (NW Spain),2003,Ostrea edulis,OsHV-1
25,https://pubmed.ncbi.nlm.nih.gov/11104068/,Renault et al. 2000,Concomitant herpes-like virus infections in hatchery-reared larvae and nursery-cultured spat Crassostrea gigas and Ostrea edulis,1994,Magallana gigas,Herpes-like virus
25,https://pubmed.ncbi.nlm.nih.gov/11104068/,Renault et al. 2000,Concomitant herpes-like virus infections in hatchery-reared larvae and nursery-cultured spat Crassostrea gigas and Ostrea edulis,1994,Ostrea edulis,Herpes-like virus
26,https://www.int-res.com/articles/dao/46/d046p001.pdf,Arzul et al. 2001,Experimental herpes-like viral infections in marine bivalves: demonstration of interspecies transmission,1997,Crassostrea angulata,OsHV-1
26,https://www.int-res.com/articles/dao/46/d046p001.pdf,Arzul et al. 2001,Experimental herpes-like viral infections in marine bivalves: demonstration of interspecies transmission,1997,Magallana gigas,OsHV-1
26,https://www.int-res.com/articles/dao/46/d046p001.pdf,Arzul et al. 2001,Experimental herpes-like viral infections in marine bivalves: demonstration of interspecies transmission,1997,Ostrea edulis,OsHV-1
26,https://www.int-res.com/articles/dao/46/d046p001.pdf,Arzul et al. 2001,Experimental herpes-like viral infections in marine bivalves: demonstration of interspecies transmission,1998,Crassostrea angulata,OsHV-1
26,https://www.int-res.com/articles/dao/46/d046p001.pdf,Arzul et al. 2001,Experimental herpes-like viral infections in marine bivalves: demonstration of interspecies transmission,1998,Magallana gigas,OsHV-1
26,https://www.int-res.com/articles/dao/46/d046p001.pdf,Arzul et al. 2001,Experimental herpes-like viral infections in marine bivalves: demonstration of interspecies transmission,1998,Ostrea edulis,OsHV-1
26,https://www.int-res.com/articles/dao/46/d046p001.pdf,Arzul et al. 2001,Experimental herpes-like viral infections in marine bivalves: demonstration of interspecies transmission,1999,Crassostrea angulata,OsHV-1
26,https://www.int-res.com/articles/dao/46/d046p001.pdf,Arzul et al. 2001,Experimental herpes-like viral infections in marine bivalves: demonstration of interspecies transmission,1999,Magallana gigas,OsHV-1
26,https://www.int-res.com/articles/dao/46/d046p001.pdf,Arzul et al. 2001,Experimental herpes-like viral infections in marine bivalves: demonstration of interspecies transmission,1999,Ostrea edulis,OsHV-1
26,https://www.int-res.com/articles/dao/46/d046p001.pdf,Arzul et al. 2001,Experimental herpes-like viral infections in marine bivalves: demonstration of interspecies transmission,2000,Crassostrea angulata,OsHV-1
26,https://www.int-res.com/articles/dao/46/d046p001.pdf,Arzul et al. 2001,Experimental herpes-like viral infections in marine bivalves: demonstration of interspecies transmission,2000,Magallana gigas,OsHV-1
26,https://www.int-res.com/articles/dao/46/d046p001.pdf,Arzul et al. 2001,Experimental herpes-like viral infections in marine bivalves: demonstration of interspecies transmission,2000,Ostrea edulis,OsHV-1
26,https://www.int-res.com/articles/dao/46/d046p001.pdf,Arzul et al. 2001,Experimental herpes-like viral infections in marine bivalves: demonstration of interspecies transmission,2001,Magallana gigas,OsHV-1
26,https://www.int-res.com/articles/dao/46/d046p001.pdf,Arzul et al. 2001,Experimental herpes-like viral infections in marine bivalves: demonstration of interspecies transmission,2001,Ostrea edulis,OsHV-1
26,https://www.int-res.com/articles/dao/46/d046p001.pdf,Arzul et al. 2001,Experimental herpes-like viral infections in marine bivalves: demonstration of interspecies transmission,2002,Ostrea edulis,OsHV-1
27,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1046/j.1365-2761.2001.00282.x,Renault & Arzul 2001,Herpes-like virus infections in hatchery-reared bivalve larvae in Europe: speci®c viral DNA detection by PCR,1997,Ruditapes phillipinarum,OsHV-1
27,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1046/j.1365-2761.2001.00282.x,Renault & Arzul 2001,Herpes-like virus infections in hatchery-reared bivalve larvae in Europe: speci®c viral DNA detection by PCR,1997,Magallana gigas,OsHV-1
27,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1046/j.1365-2761.2001.00282.x,Renault & Arzul 2001,Herpes-like virus infections in hatchery-reared bivalve larvae in Europe: speci®c viral DNA detection by PCR,1997,Ruditapes decussatus,OsHV-1
27,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1046/j.1365-2761.2001.00282.x,Renault & Arzul 2001,Herpes-like virus infections in hatchery-reared bivalve larvae in Europe: speci®c viral DNA detection by PCR,1998,Ruditapes phillipinarum,OsHV-1
27,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1046/j.1365-2761.2001.00282.x,Renault & Arzul 2001,Herpes-like virus infections in hatchery-reared bivalve larvae in Europe: speci®c viral DNA detection by PCR,1998,Magallana gigas,OsHV-1
27,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1046/j.1365-2761.2001.00282.x,Renault & Arzul 2001,Herpes-like virus infections in hatchery-reared bivalve larvae in Europe: speci®c viral DNA detection by PCR,1998,Ruditapes decussatus,OsHV-1
27,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1046/j.1365-2761.2001.00282.x,Renault & Arzul 2001,Herpes-like virus infections in hatchery-reared bivalve larvae in Europe: speci®c viral DNA detection by PCR,1999,Ruditapes phillipinarum,OsHV-1
27,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1046/j.1365-2761.2001.00282.x,Renault & Arzul 2001,Herpes-like virus infections in hatchery-reared bivalve larvae in Europe: speci®c viral DNA detection by PCR,1999,Magallana gigas,OsHV-1
27,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1046/j.1365-2761.2001.00282.x,Renault & Arzul 2001,Herpes-like virus infections in hatchery-reared bivalve larvae in Europe: speci®c viral DNA detection by PCR,1999,Ruditapes decussatus,OsHV-1
27,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1046/j.1365-2761.2001.00282.x,Renault & Arzul 2001,Herpes-like virus infections in hatchery-reared bivalve larvae in Europe: speci®c viral DNA detection by PCR,2000,Ruditapes phillipinarum,OsHV-1
27,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1046/j.1365-2761.2001.00282.x,Renault & Arzul 2001,Herpes-like virus infections in hatchery-reared bivalve larvae in Europe: speci®c viral DNA detection by PCR,2000,Magallana gigas,OsHV-1
27,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1046/j.1365-2761.2001.00282.x,Renault & Arzul 2001,Herpes-like virus infections in hatchery-reared bivalve larvae in Europe: speci®c viral DNA detection by PCR,2000,Ruditapes decussatus,OsHV-1
28,https://www.int-res.com/articles/dao/32/d032p161.pdf,Hine et al. 1998,Replication of a herpes-like virus in larvae of the flat oyster Tiostrea chilensis at ambient temperatures,NA,Tiostrea chilensis,OsHV-1
29,https://www.semanticscholar.org/paper/Herpesviruses-associated-with-mortalities-among-Hine-Wesney/8a0c4d9d9f6caa22a79308d04334dbf980ac8eab,Hine et al. 1992,Herpesviruses associated with mortalities among hatchery-reared larval Pacific oysters Crassostrea gigas,1991,Magallana gigas,Herpesvirus
30,http://eafp.org/download/1992-Volume12/Issue%201/3-Nicolas%20et%20al.pdf,Nicolas et al. 1992,Herpes-like virus infecting Pacific-oyster larvae Crassostrea gigas,1991,Magallana gigas,Herpes-like virus
31,https://www.sciencedirect.com/science/article/pii/S0022201183710980?via%3Dihub,Comps & Cochennec 1993,A Herpes-like Virus from the European Oyster Ostrea edulis L.,NA,Ostrea edulis,Herpes-like virus
32,https://www.int-res.com/abstracts/dao/v63/n1/p33-41/,Friedman et al. 2005,"Herpes virus in juvenile Pacific oysters Crassostrea gigas from Tomales Bay, California, coincides with summer mortality episodes",2002,Magallana gigas,Herpesvirus
