Study_numb,Paper,Lead Author,Year_Published,Title,URL,Location,Country,GPS_coordinates_extracted,GPS_Google,GPS_data,GPS_lat,GPS_long,Field_Lab,Species,Common name,Taxa,OsHV1_var,Year_Sampled,GenBank Sequence,Search_Strategy,Notes
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province, China",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Field,Chlamys farreri,,Scallop,OsHV-1,2011,,Snowball,
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province, China",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Field,Crassostrea hongkongensis,,Other Oyster,OsHV-1,2011,,Snowball,
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province, China",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Field,Patinopecten yessoensis,,Scallop,OsHV-1,2012,,Snowball,"(= Mizuhopecten yessoensis), Giant Ezo Scallop, Yesso Scallop"
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province, China",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Field,Chlamys farreri,,Scallop,OsHV-1,2012,,Snowball,
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province, China",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Field,Scapharca broughtonii,,Clam,OsHV-1,2012,,Snowball,
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province, China",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Field,Chlamys farreri,,Scallop,OsHV-1,2013,,Snowball,
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province, China",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Field,Scapharca broughtonii,,Clam,OsHV-1,2013,,Snowball,
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province, China",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Field,Ruditapes phillipinarum,,Clam,OsHV-1,2013,,Snowball,
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province, China",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Field,Crassostrea hongkongensis,,Other Oyster,OsHV-1,2013,,Snowball,
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province, China",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Field,Magallana gigas,,Pacific Oyster,OsHV-1,2013,,Snowball,
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province, China",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Field,Scapharca broughtonii,,Clam,OsHV-1,2013,,Snowball,
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province, China",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Field,Meretrix meretrix,,Clam,OsHV-1,2013,,Snowball,saltwater clam
5,Sanmartín et al. 2016,Sanmartín,2016,Evidence of vertical transmission of ostreid herpesvirus 1 in the Portuguese oyster Crassostrea angulata,https://www.sciencedirect.com/science/article/abs/pii/S0022201116301240?via%3Dihub,"Experimental Shellfish Station of Tavira (IPMA), Ria Formosa, Portugal",Portugal,NA,"37.121704, -7.620029","37.121704, -7.620029",37.121704,-7.620029,Field,Crassostrea angulata,,Other Oyster,OsHV-1 μVar,NA,,Snowball,
6,Serraca et al. 2016,Serraca,2016,"Mortality and ostreid herpesvirus 1 infection in the pacific oyster Crassostrea gigas in the Gulf of La Spezia, Italy",https://link.springer.com/article/10.1007/s10499-015-9919-2,"Gulf of La Spezia, Italy",Italy,NA,"44.099972, 9.837052","44.099972, 9.837052",44.099972,9.837052,Field,Magallana gigas,,Pacific Oyster,OsHV-1,2011,,Snowball,
6,Serraca et al. 2016,Serraca,2016,"Mortality and ostreid herpesvirus 1 infection in the pacific oyster Crassostrea gigas in the Gulf of La Spezia, Italy",https://link.springer.com/article/10.1007/s10499-015-9919-2,"Gulf of La Spezia, Italy",Italy,NA,"44.099972, 9.837052","44.099972, 9.837052",44.099972,9.837052,Field,Magallana gigas,,Pacific Oyster,OsHV-1,2012,,Snowball,
6,Serraca et al. 2016,Serraca,2016,"Mortality and ostreid herpesvirus 1 infection in the pacific oyster Crassostrea gigas in the Gulf of La Spezia, Italy",https://link.springer.com/article/10.1007/s10499-015-9919-2,"Gulf of La Spezia, Italy",Italy,NA,"44.099972, 9.837052","44.099972, 9.837052",44.099972,9.837052,Field,Magallana gigas,,Pacific Oyster,OsHV-1,2013,,Snowball,
7,Batista et al. 2015,Batista,2015,Sequence variation in ostreid herpesvirus 1 microvar isolates detected in dying and asymptomatic Crassostrea angulata adults in the Iberian Peninsula: Insights into viral origin and spread,https://www.sciencedirect.com/science/article/pii/S0044848614004657?via%3Dihub,"Ria Formosa, Portugal",Portugal,NA,"37.121704, -7.620029","37.121704, -7.620029",37.121704,-7.620029,Lab,Crassostrea angulata,,Other Oyster,OsHV-1,2011,,Snowball,
7,Batista et al. 2015,Batista,2015,Sequence variation in ostreid herpesvirus 1 microvar isolates detected in dying and asymptomatic Crassostrea angulata adults in the Iberian Peninsula: Insights into viral origin and spread,https://www.sciencedirect.com/science/article/pii/S0044848614004657?via%3Dihub,"Ria Formosa, Portugal",Portugal,NA,"37.121704, -7.620029","37.121704, -7.620029",37.121704,-7.620029,Lab,Crassostrea angulata,,Other Oyster,OsHV-1,2013,,Snowball,
7,Batista et al. 2015,Batista,2015,Sequence variation in ostreid herpesvirus 1 microvar isolates detected in dying and asymptomatic Crassostrea angulata adults in the Iberian Peninsula: Insights into viral origin and spread,https://www.sciencedirect.com/science/article/pii/S0044848614004657?via%3Dihub,"Carreras River, Spain",Spain,NA,"37.198015, -7.309393","37.198015, -7.309393",37.198015,-7.309393,Field,Crassostrea angulata,,Other Oyster,OsHV-1,2013,,Snowball,
8,Xin et al. 2018,Xin,2018,"Ostreid Herpesvirus-1 Infects Specific Hemocytes in Ark Clam, Scapharca broughtonii",https://www.mdpi.com/1999-4915/10/10/529,"Qingdao, China",China,NA,"36.053318, 120.291358

","36.053318, 120.291358

",36.053318,120.291358,Lab,Scapharca broughtonii,,Clam,OsHV-1,NA,,Snowball,
9,Martínez-García et al. 2017,Martínez-García,2017,"OsHV-1 and notifiable protozoa in healthy Crassostrea corteziensis cultured in two distant areas of the Gulf of California
",https://scielo.conicyt.cl/pdf/lajar/v45n4/0718-560X-lajar-45-04-0699.pdf,"Playa Manga, Sonora",Mexico,"27°58’40”N, 111°58’40”W",NA,"27.958275, -111.967971

",27.958275,-111.967971,Field,Crassostrea corteziensis,,Other Oyster,OsHV-1,2012,,Snowball,
10,Martínez-García et al. 2017,Martínez-García,2017,"OsHV-1 and notifiable protozoa in healthy Crassostrea corteziensis cultured in two distant areas of the Gulf of California
",https://scielo.conicyt.cl/pdf/lajar/v45n4/0718-560X-lajar-45-04-0699.pdf,"Boca de Camichín, Nayarit",Mexico,"21º44’36”N, 105º29’30”W",NA,"21.743333, -105.491667",21.743333,-105.491667,Field,Crassostrea corteziensis,,Other Oyster,OsHV-1,2012,,Snowball,
11,Bai et al. 2016,Bai,2016,Identification and characterization of ostreid herpesvirus 1 associated with massive mortalities of Scapharca broughtonii broodstocks in China,https://www.int-res.com/abstracts/dao/v118/n1/p65-75/,"ChangD, Changdong Province, China",China,NA,"37.852516, 120.824291","37.852516, 120.824291",37.852516,120.824291,Field,Scapharca broughtonii,,Clam,OsHV-1,2012,,Snowball,
11,Bai et al. 2016,Bai,2016,Identification and characterization of ostreid herpesvirus 1 associated with massive mortalities of Scapharca broughtonii broodstocks in China,https://www.int-res.com/abstracts/dao/v118/n1/p65-75/,"ChangD, Changdong Province, China",China,NA,"37.852516, 120.824291","37.852516, 120.824291",37.852516,120.824291,Field,Scapharca broughtonii,,Clam,OsHV-1,2013,,Snowball,
12,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Field,Magallana gigas,,Pacific Oyster,OsHV-1,1993,,Snowball,
12,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Field,Magallana gigas,,Pacific Oyster,OsHV-1,1993,,Snowball,
12,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Field,Magallana gigas,,Pacific Oyster,OsHV-1,1993,,Snowball,
12,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Field,Magallana gigas,,Pacific Oyster,OsHV-1,1994,,Snowball,
12,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Field,Magallana gigas,,Pacific Oyster,OsHV-1,1994,,Snowball,
12,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Field,Magallana gigas,,Pacific Oyster,OsHV-1,1994,,Snowball,
12,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Field,Magallana gigas,,Pacific Oyster,OsHV-1,1994,,Snowball,
12,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Field,Magallana gigas,,Pacific Oyster,OsHV-1,1995,,Snowball,
12,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Field,Magallana gigas,,Pacific Oyster,OsHV-1,1995,,Snowball,
12,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Field,Magallana gigas,,Pacific Oyster,OsHV-1,1995,,Snowball,
12,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Field,Magallana gigas,,Pacific Oyster,OsHV-1,2003,,Snowball,
12,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Field,Magallana gigas,,Pacific Oyster,OsHV-1,2003,,Snowball,
12,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Field,Magallana gigas,,Pacific Oyster,OsHV-1,2003,,Snowball,
12,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Field,Magallana gigas,,Pacific Oyster,OsHV-1,2003,,Snowball,
12,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Field,Magallana gigas,,Pacific Oyster,OsHV-1,2003,,Snowball,
12,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Field,Magallana gigas,,Pacific Oyster,OsHV-1,2003,,Snowball,
12,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Field,Magallana gigas,,Pacific Oyster,OsHV-1,2005,,Snowball,
12,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Field,Magallana gigas,,Pacific Oyster,OsHV-1,2005,,Snowball,
12,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Field,Magallana gigas,,Pacific Oyster,OsHV-1,2005,,Snowball,
12,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Field,Magallana gigas,,Pacific Oyster,OsHV-1,2005,,Snowball,
12,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Field,Magallana gigas,,Pacific Oyster,OsHV-1,2006,,Snowball,
12,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Field,Magallana gigas,,Pacific Oyster,OsHV-1,2006,,Snowball,
12,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Field,Magallana gigas,,Pacific Oyster,OsHV-1,2006,,Snowball,
12,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Field,Magallana gigas,,Pacific Oyster,OsHV-1,2006,,Snowball,
12,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Field,Magallana gigas,,Pacific Oyster,OsHV-1,2006,,Snowball,
12,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Field,Magallana gigas,,Pacific Oyster,OsHV-1,2006,,Snowball,
12,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Field,Magallana gigas,,Pacific Oyster,OsHV-1,2007,,Snowball,
