#,Study Title,Lead Author,Year,Link (DOI),Location,Time of year,C. gigas?,OsHV-1 measured?,uvar?,OsHV-1 innoculation method,OsHV-1 metric,OsHV-1 quantity,Monitored water temp?,Reported water temp data?,Water Temp (deg C),Length of water temp data prior to experiment,Length of experiment,Measured Oyster Response?,Oyster Response Metric,Oyster response quantity,Other relevant parameters?,Data to solicit from authors,Include in Meta-analysis?,Notes
21,Experimental infections of Pacific oyster Crassostrea gigas using the Australian ostreid herpesvirus-1 (OsHV-1) µVar strain,Paul-Pont,2015,http://www.int-res.com/abstracts/dao/v113/n2/p137-147/,,,Yes,Yes,Yes,injection,viral copies,10^3 - 10^11,na,No,15-18,na,240 hours,Yes,Mortality,"70% at 48h, 97% at 96 hpi",OsHV-1 dose,na,No,
23,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,
